Zeit von [CET/CEST];Zeit bis [CET/CEST];Preis Erstveröffentlichung [EUR/MWh];Preis 15 min [EUR/MWh];Preis final [EUR/MWh],,,
02.01.2023 14:45:00;02.01.2023 15:00:00;166,15;166,15;155,96
02.01.2023 15:00:00;02.01.2023 15:15:00;171,98;171,98;160,67
02.01.2023 15:15:00;02.01.2023 15:30:00;218,82;218,82;218,79
02.01.2023 15:30:00;02.01.2023 15:45:00;209,53;209,53;209,14
02.01.2023 15:45:00;02.01.2023 16:00:00;167,87;168,86;182,70
02.01.2023 16:00:00;02.01.2023 16:15:00;-7,69;-7,69;-7,68
02.01.2023 16:15:00;02.01.2023 16:30:00;18,90;18,90;21,46
02.01.2023 16:30:00;02.01.2023 16:45:00;35,62;35,62;36,47
02.01.2023 16:45:00;02.01.2023 17:00:00;63,93;63,93;66,35
02.01.2023 17:00:00;02.01.2023 17:15:00;7,15;7,15;7,67
02.01.2023 17:15:00;02.01.2023 17:30:00;10,03;10,03;10,61
02.01.2023 17:30:00;02.01.2023 17:45:00;5,19;5,19;5,20
02.01.2023 17:45:00;02.01.2023 18:00:00;-10,29;-10,29;152,5
02.01.2023 18:00:00;02.01.2023 18:15:00;6,45;6,45;6,68
02.01.2023 18:15:00;02.01.2023 18:30:00;10,01;10,01;172,96
02.01.2023 18:30:00;02.01.2023 18:45:00;190,26;188,02;183,18
02.01.2023 18:45:00;02.01.2023 19:00:00;174,04;172,58;166,67
02.01.2023 19:00:00;02.01.2023 19:15:00;206,04;208,19;213,80
02.01.2023 19:15:00;02.01.2023 19:30:00;172,06;172,06;172,99
02.01.2023 19:30:00;02.01.2023 19:45:00;166,74;166,04;165,54
02.01.2023 19:45:00;02.01.2023 20:00:00;7,46;7,46;8,42
02.01.2023 20:00:00;02.01.2023 20:15:00;179,26;179,26;177,93
02.01.2023 20:15:00;02.01.2023 20:30:00;-59,88;-59,88;-63,10
02.01.2023 20:30:00;02.01.2023 20:45:00;17,27;17,27;26,81
02.01.2023 20:45:00;02.01.2023 21:00:00;-99,52;-99,52;-98,53
02.01.2023 21:00:00;02.01.2023 21:15:00;160,29;163,37;160,15
02.01.2023 21:15:00;02.01.2023 21:30:00;394,96;394,96;379,1
02.01.2023 21:30:00;02.01.2023 21:45:00;169,50;169,50;145,78
02.01.2023 21:45:00;02.01.2023 22:00:00;116,79;116,09;115,25
